id,osm_id,nome,nome_fr,quota_m,tag_altitudine,lat,lon,valle,provincia,gruppo_montuoso,prominenza_m,croce_vetta,difficolta_via_normale,dislivello_via_normale_m,rifugio_appoggio,wikidata,wikipedia,salita_personale,data_salita,note
666,9006582535,Punta Vallonetto,,2785,2500+,44.9945295,6.9757374,Val Chisone,TO,Alpi Cozie Sud,,,,,,,,no,,
667,1952547450,Cima Giardonera,,2784,2500+,45.4066127,7.3502659,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
668,12985609356,Rocce San Giacomo,,2783,2500+,44.9344066,6.912073,Val Chisone,TO,Alpi Cozie Sud,,,,,,,,no,,
669,648758485,Monte Cassorso E,,2782,2500+,44.4173557,7.0189413,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
670,5133199816,Corno Mutt,,2782,2500+,46.4468246,8.4086321,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31658138,,no,,
671,2076418191,Punta Fertà,,2781,2500+,45.4043133,7.2732641,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
672,2440748620,Cima del Dragonet,,2781,2500+,44.2059253,7.3043432,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
673,1907533231,Punta del Baus,,2779,2500+,44.1783044,7.4240435,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
674,1907533233,Punta della Rua,,2779,2500+,44.1818094,7.4203788,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
675,996434701,Monte Rocciavré,Mont Rocciavrè,2778,2500+,45.0484907,7.1595648,Val Sangone,TO,Alpi Cozie Nord,,,,,,Q3861908,it:Monte Rocciavrè,no,,
676,5024732140,Cime de Vermeil,Cime de Vermeil,2778,2500+,44.2051166,7.1664854,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
677,5434271795,Cima senza nome,,2778,2500+,45.1199843,6.8013478,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
678,11233277292,Becca d'Arnas,,2777,2500+,45.2881709,7.1544304,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
679,2479536239,Punta Fiunira,,2776,2500+,44.8301448,7.0492605,Val Germanasca,TO,Alpi Cozie Sud,,,,,,,,no,,
680,2927706492,Monte Cassorso W,,2776,2500+,44.4173848,7.0177471,Valle Maira,CN,Alpi Cozie Sud,,,,,,Q19886034,it:Monte Cassorso,no,,
681,10128276870,Cima senza nome,,2776,2500+,44.5517346,6.9133016,Valle Varaita,CN,Alpi Cozie Sud,,,,,,,,no,,
682,306981723,Becco Grande,,2775,2500+,44.3916419,7.0888803,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
683,1953094085,Pointe de la Reculaye / Punta della Reculaye,Pointe de la Reculaye,2775,2500+,44.4717554,6.8942181,Valle non classificata,CN,Gruppo non classificato,,,,,,,,no,,
684,4941781097,Cima senza nome,,2773,2500+,45.1175167,6.8113501,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
685,6821214533,Pizzo Pojala,,2773,2500+,46.3251867,8.3427536,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31655928,,no,,
686,13101333873,Becco Grande Ovest,,2773,2500+,44.391017,7.0872014,Valle Stura di Demonte,CN,Alpi Marittime,,si,,,,,,no,,
687,944084183,Geisspfadspitzen - Südgipfel,,2772,2500+,46.351824,8.2657698,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
688,1374676199,Cima di Mercantour / Cime du Mercantour,Cime du Mercantour,2772,2500+,44.1441937,7.2952781,Valle Gesso,CN,Alpi Marittime,,,,,,Q2972423,,no,,
689,1947181128,Punta Lunella,,2772,2500+,45.1970122,7.2161988,Val di Susa,TO,Alpi Cozie Nord,,,,,,Q3925680,it:Punta Lunella,no,,
690,6913787608,Pizzo Taramona,,2772,2500+,46.2896175,8.1310809,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q22394024,,no,,
691,11961400975,Monte Rocciavrè Occidentale,,2772,2500+,45.0487754,7.1588812,Val Sangone,TO,Alpi Cozie Nord,,,,,,,,no,,
692,2667580938,Monte Morefreddo,,2770,2500+,44.9776818,6.9666593,Val Chisone,TO,Alpi Cozie Sud,,,,,,Q16579643,it:Monte Morefreddo,no,,
693,3652786158,Monte Pelvo,,2770,2500+,45.0643994,7.069554,Val di Susa,TO,Alpi Cozie Nord,,si,,,,Q3861822,it:Monte Pelvo,no,,
694,3711980293,Bochtehorn,,2770,2500+,46.3668848,8.2728928,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31656761,,no,,
695,1951367161,Cime des Blanches / Testa del Ferro,Cime des Blanches,2769,2500+,44.3191136,6.9529874,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
696,2641588578,Punta di Mezzodì,,2769,2500+,45.0707672,7.1190457,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
697,9844249486,Cima senza nome,,2769,2500+,46.0033944,8.0619877,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
698,4017739725,Falso Oserot,,2768,2500+,44.3955828,6.9901489,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
699,648758447,Monte Giordano,,2766,2500+,44.3779955,7.0305084,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
700,1244932654,Pizzo Crampiolo Sud,,2766,2500+,46.3398983,8.2687358,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31656143,,no,,
701,3822368037,Monte Giavino,,2766,2500+,45.5121966,7.6249479,Valle Soana,TO,Alpi Graie,,,,,,Q3861586,it:Monte Giavino,no,,
702,3711980296,Corno di Valdeserta,,2765,2500+,46.365373,8.2767909,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
703,1945773428,Monte Rosso d'Ala,,2763,2500+,45.2873713,7.2682777,Valli di Lanzo,TO,Alpi Graie,,,,,,Q3861922,it:Monte Rosso d'Ala,no,,
704,2428059437,Cima senza nome,,2763,2500+,46.0698891,8.0648792,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
705,439419395,Rocce Founs,,2762,2500+,44.7165723,7.0893641,Val Pellice,TO,Alpi Cozie Sud,,,,,,,,no,,
706,1509617443,Testa dell'Autaret / Tête de l'Autaret,Tête de l'Autaret,2761,2500+,44.2253398,7.042253,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q3985167,it:Testa dell'Autaret,no,,
707,5290723787,Dosso Grinner,,2761,2500+,45.8675102,7.9739584,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
708,7016681789,Pèira Chatel,,2761,2500+,45.1047333,6.8667667,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
709,1527341080,Grand'Hoche,,2760,2500+,45.0179935,6.7360115,Valle non classificata,TO,Gruppo non classificato,,si,,,,Q3775017,it:Grand'Hoche,no,,
710,1618729481,Cima di Collalunga / Cime de Colle Longue,Cime de Colle Longue,2760,2500+,44.2323701,7.0192937,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q31663168,,no,,
711,1907533229,Punta Gelas Fenestrelle,,2760,2500+,44.1546275,7.3482673,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
712,13316759033,Testa della Costabella del Piz,,2760,2500+,44.2927697,7.0131183,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q31639862,,no,,
713,1944335789,Rocca Turo,,2759,2500+,45.2993513,7.1474496,Valli di Lanzo,TO,Alpi Graie,,si,,,,Q28669937,,no,,
714,5129700088,Punta delle Pisse,,2759,2500+,45.8191614,7.8999373,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
715,1619460021,Cima Dorlier,,2758,2500+,44.8786612,6.8269077,Val Chisone,TO,Alpi Cozie Sud,,,,,,Q61830900,,no,,
716,648758481,Monte Servagno,,2757,2500+,44.3843261,7.0213126,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
717,1244935687,Pizzo Fizzi,,2757,2500+,46.3384031,8.2723889,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
718,921189616,Rocca Jarea,,2756,2500+,44.6294688,7.0858871,Valle Varaita,TO,Alpi Cozie Sud,,,,,,,,no,,
719,3212697214,Monte Marzo,,2756,2500+,45.5624647,7.6087788,Valle Soana,TO,Alpi Graie,,,,,,Q3861729,it:Monte Marzo,no,,
720,5434263038,Cima senza nome,,2756,2500+,45.1433893,6.8114634,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
721,1434713735,Rocca dell'Abisso / Roche de l'Abisse,Roche de l'Abisse,2755,2500+,44.14348,7.503924,Valle Vermenagna,CN,Alpi Marittime,,,,,,Q3939453,it:Rocca dell'Abisso,no,,
722,4032000785,Monte Freid,,2755,2500+,44.4488307,6.9579982,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
723,7817884364,Punta Battisti,,2754,2500+,45.9479087,7.9324244,Valle Anzasca,VB,Alpi Pennine,,,,,,Q24868276,,no,,
724,6789199282,Torri del Vannino,,2752,2500+,46.3898798,8.3385251,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31657296,,no,,
