ID OSM,Nome cima,Quota cima,Tag altitudine,Valle,Catena,Provincia
1434713735,Rocca dell'Abisso / Roche de l'Abisse,2755,2500+,Valle Vermenagna,Alpi Marittime,CN
4032000785,Monte Freid,2755,2500+,Valle Maira,Alpi Cozie Sud,CN
7817884364,Punta Battisti,2754,2500+,Valle Anzasca,Alpi Pennine,VB
6789199282,Torri del Vannino,2752,2500+,Val d'Ossola,Alpi Lepontine,VB
5063469963,Monte della Valletta,2750,2500+,Valle Stura di Demonte,Alpi Marittime,CN
4341748129,Testa di Garbe,2749,2500+,Valle Stura di Demonte,Alpi Marittime,CN
921189631,Punta delle Guglie,2748,2500+,Valle Po,Alpi Cozie Sud,TO
1849761165,Vetta San Berné,2748,2500+,Valli di Lanzo,Alpi Graie,TO
1907533228,Punta Frassinetto,2748,2500+,Valle Gesso,Alpi Marittime,CN
6767596795,Monte Madone,2748,2500+,Val d'Ossola,Alpi Lepontine,VB
6929571425,Monte Ciabertas,2748,2500+,Val Chisone,Alpi Cozie Sud,TO
4543649360,Punta Chiara,2747,2500+,Valle Anzasca,Alpi Pennine,VB
9944966101,Monte Bodoira,2747,2500+,Valle Stura di Demonte,Alpi Marittime,CN
648758584,Monte Ruissas,2746,2500+,Valle Varaita,Alpi Cozie Sud,CN
8563922585,Gran Somma,2746,2500+,Valle non classificata,Gruppo non classificato,TO
648758614,Monte la Bianca,2745,2500+,Valle Maira,Alpi Cozie Sud,CN
1432021163,Punta Maladecia,2745,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2397318011,Monte Aver,2745,2500+,Valle Stura di Demonte,Alpi Marittime,CN
5306386392,Punta del Vallone,2745,2500+,Val Chisone,Alpi Cozie Sud,TO
2246536681,Cima del Latous,2744,2500+,Valle Stura di Demonte,Alpi Marittime,CN
5846316337,Testa del Termine,2744,2500+,Valle Varaita,Alpi Cozie Sud,TO
1672718351,Cima delle Vallette,2743,2500+,Val di Susa,Alpi Cozie Nord,TO
5434263049,I Frati,2743,2500+,Val di Susa,Alpi Cozie Nord,TO
5474329930,Punta di Curzalma,2743,2500+,Val d'Ossola,Alpi Lepontine,VB
2641588571,Punta Pian Paris,2742,2500+,Val di Susa,Alpi Cozie Nord,TO
3909716598,Cima Carnera,2741,2500+,Valle Anzasca,Alpi Pennine,VB
5166558925,Corno Rosso,2740,2500+,Valle Anzasca,Alpi Pennine,VB
1981669628,Testa Gias dei Laghi,2739,2500+,Valle Stura di Demonte,Alpi Marittime,CN
798769541,Frioland,2738,2500+,Val Pellice,Alpi Cozie Sud,TO
2375513077,Monte Pertusà,2738,2500+,Valle Varaita,Alpi Cozie Sud,CN
2445421379,Pizzo Nero,2738,2500+,Valle Anzasca,Alpi Pennine,VB
6481535705,Monte Clopacà,2738,2500+,Val di Susa,Alpi Cozie Nord,TO
2161640201,Cima delle Liste (Punta Gardetta),2737,2500+,Val Chisone,Alpi Cozie Sud,TO
3201352957,Pizzi del Busin,2737,2500+,Val d'Ossola,Alpi Lepontine,VB
7408652357,Cima del Rospo,2737,2500+,Valle Soana,Alpi Graie,TO
1859956922,Monte Français Pelouxe,2736,2500+,Val di Susa,Alpi Cozie Nord,TO
7198130816,Mont Noir,2736,2500+,Valle Soana,Alpi Graie,TO
1887575912,Punta Malanotte,2735,2500+,Val di Susa,Alpi Cozie Nord,TO
2359101327,Punta Zanotti,2734,2500+,Valle Stura di Demonte,Alpi Marittime,CN
3824726686,Punta Liamau,2734,2500+,Valle Soana,Alpi Graie,TO
2428108374,Pizzo San Martino,2733,2500+,Val d'Ossola,Alpi Lepontine,VB
921193420,Monte Pietralunga,2731,2500+,Valle Varaita,Alpi Cozie Sud,TO
